Date,Price,Open,High,Low,Vol.,Change %
31/12/2019,1.284,1.2715,1.2855,1.2685,135.37K,1.03%
30/12/2019,1.2709,1.2732,1.2776,1.2691,127.57K,-0.29%
27/12/2019,1.2746,1.2751,1.28,1.2717,115.31K,-0.02%
26/12/2019,1.2748,1.2704,1.277,1.2695,113.83K,0.37%
25/12/2019,1.2701,1.2692,1.2741,1.2672,35.20K,0.12%
24/12/2019,1.2686,1.2701,1.2729,1.2655,132.41K,-0.08%
23/12/2019,1.2696,1.277,1.2791,1.266,122.71K,-0.63%
20/12/2019,1.2776,1.273,1.2836,1.2717,133.48K,0.40%
19/12/2019,1.2725,1.2823,1.2873,1.2709,136.45K,-0.73%
18/12/2019,1.2818,1.2873,1.2882,1.2809,130.44K,-0.40%
17/12/2019,1.2869,1.3094,1.3107,1.2849,128.10K,-1.68%
16/12/2019,1.3089,1.3123,1.3201,1.3093,132.16K,-0.15%
13/12/2019,1.3109,1.2971,1.3318,1.296,192.20K,1.13%
12/12/2019,1.2963,1.2978,1.2996,1.2879,162.41K,-0.02%
11/12/2019,1.2966,1.2952,1.3003,1.2898,132.73K,0.15%
10/12/2019,1.2946,1.2995,1.3007,1.2947,106.94K,-0.29%
09/12/2019,1.2984,1.3007,1.3058,1.2977,114.43K,-0.17%
06/12/2019,1.3006,1.299,1.3016,1.2946,128.36K,0.17%
05/12/2019,1.2984,1.2956,1.3019,1.2941,133.56K,0.25%
04/12/2019,1.2951,1.2825,1.2972,1.2807,139.68K,1.01%
03/12/2019,1.2822,1.2825,1.2868,1.2802,126.04K,0.01%
02/12/2019,1.2821,1.292,1.2935,1.2818,126.10K,-0.84%
29/11/2019,1.293,1.2893,1.2951,1.2876,129.53K,0.32%
28/11/2019,1.2889,1.2912,1.2943,1.2881,139.62K,-0.15%
27/11/2019,1.2908,1.2829,1.2917,1.2802,136.21K,0.66%
26/11/2019,1.2824,1.2856,1.2874,1.2804,139.21K,-0.22%
25/11/2019,1.2852,1.2797,1.2882,1.2795,136.08K,0.45%
22/11/2019,1.2794,1.2825,1.2854,1.277,136.88K,-0.20%
21/11/2019,1.282,1.2806,1.2863,1.2785,142.69K,0.14%
20/11/2019,1.2802,1.2802,1.2838,1.2765,133.79K,0.05%
19/11/2019,1.2795,1.2818,1.285,1.2787,123.43K,-0.16%
18/11/2019,1.2816,1.2773,1.2864,1.2762,123.97K,0.39%
15/11/2019,1.2766,1.2727,1.2787,1.2723,126.79K,0.33%
14/11/2019,1.2724,1.2723,1.2739,1.2672,131.11K,0.04%
13/11/2019,1.2719,1.2759,1.2775,1.269,112.19K,-0.27%
12/11/2019,1.2753,1.277,1.2802,1.2742,122.02K,-0.11%
11/11/2019,1.2767,1.2744,1.2821,1.2734,111.26K,0.27%
08/11/2019,1.2733,1.2754,1.2781,1.2732,141.02K,-0.13%
07/11/2019,1.275,1.2764,1.279,1.2702,173.55K,-0.07%
06/11/2019,1.2759,1.2795,1.2807,1.2744,128.60K,-0.23%
05/11/2019,1.2788,1.2728,1.2806,1.2721,142.12K,0.52%
04/11/2019,1.2722,1.2755,1.2778,1.2718,122.93K,-0.18%
01/11/2019,1.2745,1.2766,1.2812,1.2743,142.15K,-0.14%
31/10/2019,1.2763,1.2767,1.2803,1.2746,159.12K,0.01%
30/10/2019,1.2762,1.2789,1.2816,1.2737,137.29K,-0.17%
29/10/2019,1.2784,1.2795,1.2831,1.2744,131.44K,-0.05%
28/10/2019,1.279,1.2754,1.2822,1.2732,119.35K,0.33%
25/10/2019,1.2748,1.2753,1.2769,1.2707,140.60K,0.00%
24/10/2019,1.2748,1.2792,1.283,1.2693,155.86K,-0.35%
23/10/2019,1.2793,1.2738,1.2804,1.2701,157.32K,0.45%
22/10/2019,1.2736,1.2779,1.2853,1.2722,152.38K,-0.29%
21/10/2019,1.2773,1.2722,1.2825,1.2678,150.86K,0.06%
18/10/2019,1.2765,1.2737,1.2782,1.2672,167.55K,0.30%
17/10/2019,1.2727,1.2765,1.2894,1.2622,183.34K,-0.28%
16/10/2019,1.2763,1.277,1.2829,1.2616,166.40K,-0.02%
15/10/2019,1.2766,1.2573,1.2782,1.2563,168.90K,1.58%
14/10/2019,1.2568,1.2585,1.2622,1.2463,153.61K,-0.28%
11/10/2019,1.2603,1.2405,1.2674,1.2375,185.14K,1.63%
10/10/2019,1.2401,1.2156,1.243,1.2117,174.03K,2.05%
09/10/2019,1.2152,1.2132,1.2201,1.2121,137.17K,0.20%
08/10/2019,1.2128,1.2228,1.2246,1.2091,146.00K,-0.79%
07/10/2019,1.2224,1.2273,1.2282,1.2213,112.74K,-0.39%
04/10/2019,1.2272,1.2324,1.2357,1.2217,161.15K,-0.37%
03/10/2019,1.2317,1.2267,1.2406,1.2248,158.56K,0.47%
02/10/2019,1.2259,1.2227,1.2321,1.2189,148.54K,0.30%
01/10/2019,1.2222,1.2265,1.2329,1.2155,161.79K,-0.33%
30/09/2019,1.2263,1.2177,1.2319,1.217,140.90K,0.73%
27/09/2019,1.2174,1.2244,1.2269,1.2167,154.57K,-0.56%
26/09/2019,1.2242,1.2249,1.228,1.2227,166.79K,-0.04%
25/09/2019,1.2247,1.2308,1.2324,1.2201,155.79K,-0.46%
24/09/2019,1.2304,1.2303,1.2364,1.2292,153.39K,0.03%
23/09/2019,1.23,1.2355,1.2386,1.2286,133.30K,-0.49%
20/09/2019,1.2361,1.2442,1.2476,1.2351,169.45K,-0.56%
19/09/2019,1.2431,1.2441,1.2461,1.2328,177.56K,-0.02%
18/09/2019,1.2434,1.2418,1.2481,1.2376,160.86K,0.18%
17/09/2019,1.2412,1.2347,1.2434,1.2301,166.14K,0.62%
16/09/2019,1.2335,1.2382,1.2389,1.23,167.74K,-0.35%
13/09/2019,1.2378,1.2217,1.2388,1.2197,172.09K,1.37%
12/09/2019,1.2211,1.224,1.2262,1.2191,188.62K,-0.20%
11/09/2019,1.2235,1.225,1.2292,1.2227,148.46K,-0.09%
10/09/2019,1.2246,1.2249,1.228,1.2195,145.63K,0.01%
09/09/2019,1.2245,1.2154,1.2275,1.2106,151.22K,1.00%
06/09/2019,1.2124,1.2161,1.2205,1.2124,182.98K,-0.28%
05/09/2019,1.2158,1.2016,1.2179,1.2,200.12K,1.22%
04/09/2019,1.2011,1.1918,1.2032,1.1918,182.25K,0.75%
03/09/2019,1.1922,1.1954,1.1969,1.1851,176.85K,-0.24%
02/09/2019,1.1951,1.2026,1.2063,1.1927,132.58K,-0.68%
30/08/2019,1.2033,1.2018,1.2082,1.2011,173.01K,0.08%
29/08/2019,1.2023,1.1988,1.204,1.1948,174.84K,0.33%
28/08/2019,1.1983,1.2062,1.2071,1.1933,173.29K,-0.61%
27/08/2019,1.2056,1.196,1.2092,1.1941,162.62K,0.84%
26/08/2019,1.1956,1.1945,1.2018,1.1917,172.19K,-0.07%
23/08/2019,1.1964,1.2052,1.2076,1.1944,182.30K,-0.70%
22/08/2019,1.2048,1.1916,1.2068,1.1885,163.02K,1.14%
21/08/2019,1.1912,1.1903,1.1926,1.1869,155.72K,0.12%
20/08/2019,1.1898,1.1904,1.1939,1.1818,157.06K,-0.01%
19/08/2019,1.1899,1.1884,1.1928,1.1846,138.57K,0.13%
16/08/2019,1.1884,1.18,1.1943,1.1794,152.24K,0.73%
15/08/2019,1.1798,1.1739,1.1855,1.1729,171.16K,0.53%
14/08/2019,1.1736,1.1777,1.1786,1.1713,175.58K,-0.31%
13/08/2019,1.1773,1.1704,1.1802,1.1673,168.58K,0.63%
12/08/2019,1.1699,1.1717,1.177,1.1674,156.13K,0.02%
09/08/2019,1.1697,1.1828,1.1841,1.1693,159.21K,-1.07%
08/08/2019,1.1823,1.1843,1.1882,1.1815,171.27K,-0.14%
07/08/2019,1.1839,1.1881,1.1905,1.1787,185.74K,-0.33%
06/08/2019,1.1878,1.1822,1.1954,1.1793,181.22K,0.52%
05/08/2019,1.1817,1.1928,1.1963,1.1803,179.38K,-0.99%
02/08/2019,1.1935,1.2016,1.2027,1.1901,176.17K,-0.63%
01/08/2019,1.2011,1.2082,1.2098,1.2,180.13K,-0.59%
31/07/2019,1.2082,1.2037,1.2127,1.2025,159.22K,0.44%
30/07/2019,1.2029,1.2117,1.2129,1.2018,160.61K,-0.69%
29/07/2019,1.2112,1.2306,1.231,1.2112,135.84K,-1.50%
26/07/2019,1.2297,1.2346,1.2354,1.2296,139.21K,-0.36%
25/07/2019,1.2342,1.2294,1.2371,1.228,158.46K,0.41%
24/07/2019,1.2291,1.2256,1.2337,1.2247,144.04K,0.32%
23/07/2019,1.2252,1.2253,1.2278,1.2224,146.61K,0.03%
22/07/2019,1.2248,1.2281,1.2311,1.2226,131.47K,-0.18%
19/07/2019,1.227,1.2316,1.2341,1.2266,152.08K,-0.34%
18/07/2019,1.2312,1.2277,1.2347,1.2247,161.86K,0.32%
17/07/2019,1.2273,1.2256,1.23,1.2236,142.13K,0.19%
16/07/2019,1.225,1.2323,1.2335,1.2237,150.27K,-0.57%
15/07/2019,1.232,1.2372,1.2394,1.2305,134.21K,-0.42%
12/07/2019,1.2372,1.2395,1.2418,1.2342,171.26K,-0.18%
11/07/2019,1.2394,1.2371,1.2415,1.2341,175.32K,0.22%
10/07/2019,1.2367,1.2388,1.2396,1.2347,159.06K,-0.13%
09/07/2019,1.2383,1.2435,1.2454,1.2359,148.29K,-0.39%
08/07/2019,1.2432,1.2415,1.2447,1.2394,140.28K,0.13%
05/07/2019,1.2416,1.2391,1.2433,1.2375,166.49K,0.23%
04/07/2019,1.2387,1.2406,1.2418,1.2385,142.84K,-0.11%
03/07/2019,1.2401,1.242,1.2429,1.2369,157.67K,-0.12%
02/07/2019,1.2416,1.2484,1.25,1.2401,161.03K,-0.50%
01/07/2019,1.2479,1.2392,1.2493,1.2392,162.16K,0.73%
28/06/2019,1.2388,1.238,1.2432,1.2336,169.39K,0.11%
27/06/2019,1.2375,1.2412,1.245,1.2357,171.80K,-0.27%
26/06/2019,1.2409,1.2378,1.2429,1.2344,177.99K,0.27%
25/06/2019,1.2376,1.2384,1.2461,1.2357,169.39K,-0.05%
24/06/2019,1.2382,1.2442,1.2477,1.2358,150.96K,-0.44%
21/06/2019,1.2437,1.2472,1.2496,1.241,193.08K,-0.25%
20/06/2019,1.2468,1.2568,1.2579,1.2431,206.03K,-0.76%
19/06/2019,1.2563,1.2565,1.2593,1.2531,159.47K,0.05%
18/06/2019,1.2557,1.2522,1.2569,1.2485,170.51K,0.30%
17/06/2019,1.2519,1.2587,1.2596,1.2516,151.78K,-0.45%
14/06/2019,1.2576,1.2598,1.2618,1.2565,184.69K,-0.12%
