Date,Price,Open,High,Low,Vol.,Change %
31/12/2019,1.1831,1.1712,1.1835,1.1693,151.97K,1.06%
30/12/2019,1.1707,1.1688,1.175,1.1685,147.91K,0.08%
27/12/2019,1.1698,1.1707,1.1753,1.1673,136.93K,-0.06%
26/12/2019,1.1705,1.1686,1.1725,1.1677,130.61K,0.19%
25/12/2019,1.1683,1.1676,1.1718,1.1639,51.17K,0.09%
24/12/2019,1.1673,1.1667,1.1706,1.1646,163.99K,0.09%
23/12/2019,1.1662,1.1726,1.1759,1.1638,145.38K,-0.62%
20/12/2019,1.1735,1.1697,1.1799,1.169,154.84K,0.36%
19/12/2019,1.1693,1.1768,1.1798,1.1686,158.98K,-0.60%
18/12/2019,1.1764,1.1776,1.1789,1.1739,156.82K,-0.08%
17/12/2019,1.1773,1.1964,1.197,1.1748,156.02K,-1.56%
16/12/2019,1.1959,1.1985,1.2047,1.1953,161.52K,-0.18%
13/12/2019,1.198,1.1831,1.2083,1.1824,219.75K,1.32%
12/12/2019,1.1824,1.1862,1.1876,1.1751,190.78K,-0.23%
11/12/2019,1.1851,1.1861,1.1891,1.1816,162.97K,-0.05%
10/12/2019,1.1857,1.1886,1.1911,1.1856,137.72K,-0.17%
09/12/2019,1.1877,1.1886,1.1917,1.1865,131.63K,0.02%
06/12/2019,1.1875,1.185,1.189,1.1808,145.02K,0.24%
05/12/2019,1.1846,1.1828,1.1864,1.1825,151.92K,0.17%
04/12/2019,1.1826,1.1723,1.1834,1.1721,164.79K,0.90%
03/12/2019,1.172,1.1678,1.1749,1.1667,155.12K,0.39%
02/12/2019,1.1674,1.1731,1.1746,1.166,156.21K,-0.54%
29/11/2019,1.1737,1.1728,1.1751,1.1704,155.33K,0.09%
28/11/2019,1.1726,1.1748,1.1768,1.1718,169.54K,-0.17%
27/11/2019,1.1746,1.1675,1.1751,1.1648,161.61K,0.64%
26/11/2019,1.1671,1.1711,1.1724,1.1652,162.21K,-0.32%
25/11/2019,1.1709,1.1639,1.1725,1.1639,158.57K,0.63%
22/11/2019,1.1636,1.1678,1.1683,1.1619,168.96K,-0.34%
21/11/2019,1.1676,1.1672,1.1704,1.1653,176.58K,0.06%
20/11/2019,1.1669,1.1668,1.1684,1.165,172.13K,0.06%
19/11/2019,1.1662,1.17,1.1715,1.1652,159.54K,-0.29%
18/11/2019,1.1696,1.1678,1.1736,1.1666,156.95K,0.23%
15/11/2019,1.1669,1.1686,1.1698,1.1662,164.60K,-0.12%
14/11/2019,1.1683,1.1675,1.1705,1.1651,169.35K,0.09%
13/11/2019,1.1672,1.1671,1.1687,1.1641,146.27K,0.06%
12/11/2019,1.1665,1.1651,1.1687,1.1618,148.73K,0.14%
11/11/2019,1.1649,1.1593,1.1686,1.1593,131.26K,0.54%
08/11/2019,1.1586,1.1596,1.1632,1.1585,158.51K,-0.06%
07/11/2019,1.1593,1.1616,1.1627,1.1549,207.00K,-0.20%
06/11/2019,1.1616,1.1635,1.1641,1.1603,162.88K,-0.14%
05/11/2019,1.1632,1.1578,1.165,1.1565,185.86K,0.50%
04/11/2019,1.1574,1.1602,1.1602,1.1564,163.96K,-0.05%
01/11/2019,1.158,1.1605,1.1636,1.1577,176.96K,-0.18%
31/10/2019,1.1601,1.1571,1.1629,1.1563,203.41K,0.29%
30/10/2019,1.1568,1.1579,1.1613,1.1561,172.90K,-0.06%
29/10/2019,1.1575,1.1589,1.1619,1.1559,159.34K,-0.09%
28/10/2019,1.1585,1.1573,1.1609,1.1556,142.30K,0.14%
25/10/2019,1.1569,1.1574,1.1588,1.1532,172.88K,-0.02%
24/10/2019,1.1571,1.1605,1.163,1.1524,201.05K,-0.28%
23/10/2019,1.1603,1.157,1.1609,1.1545,199.29K,0.29%
22/10/2019,1.1569,1.1623,1.166,1.1565,193.91K,-0.46%
21/10/2019,1.1622,1.1595,1.1659,1.1545,188.52K,0.11%
18/10/2019,1.1609,1.1588,1.1626,1.1541,202.10K,0.21%
17/10/2019,1.1585,1.1589,1.1667,1.1489,229.39K,-0.01%
16/10/2019,1.1586,1.159,1.1632,1.1471,213.36K,-0.01%
15/10/2019,1.1587,1.1432,1.1594,1.1425,212.38K,1.38%
14/10/2019,1.1429,1.1453,1.1476,1.1348,185.61K,-0.19%
11/10/2019,1.1451,1.1304,1.1504,1.1272,225.68K,1.33%
10/10/2019,1.1301,1.1126,1.1326,1.1085,212.59K,1.61%
09/10/2019,1.1122,1.1152,1.1188,1.1115,166.27K,-0.24%
08/10/2019,1.1149,1.1204,1.121,1.1108,176.02K,-0.46%
07/10/2019,1.1201,1.123,1.1235,1.1191,135.86K,-0.26%
04/10/2019,1.123,1.1247,1.1263,1.1187,181.03K,-0.09%
03/10/2019,1.124,1.1225,1.1304,1.1207,184.30K,0.15%
02/10/2019,1.1223,1.1254,1.1263,1.1204,164.06K,-0.28%
01/10/2019,1.1255,1.1274,1.1306,1.1188,178.27K,-0.16%
30/09/2019,1.1273,1.1234,1.1324,1.1224,159.90K,0.37%
27/09/2019,1.1232,1.1284,1.1306,1.1228,184.55K,-0.43%
26/09/2019,1.1281,1.1287,1.1308,1.1251,196.37K,-0.02%
25/09/2019,1.1283,1.1334,1.1347,1.1258,178.37K,-0.41%
24/09/2019,1.133,1.1307,1.1363,1.1293,177.88K,0.23%
23/09/2019,1.1304,1.1322,1.1346,1.1289,153.56K,-0.17%
20/09/2019,1.1323,1.1349,1.1381,1.1303,192.18K,-0.15%
19/09/2019,1.134,1.1308,1.1359,1.1243,188.76K,0.33%
18/09/2019,1.1303,1.1291,1.1339,1.1259,183.26K,0.14%
17/09/2019,1.1287,1.1304,1.1315,1.1248,195.58K,-0.06%
16/09/2019,1.1294,1.1287,1.1307,1.1233,195.59K,0.08%
13/09/2019,1.1285,1.115,1.1293,1.114,206.07K,1.26%
12/09/2019,1.1145,1.1196,1.1256,1.1136,221.61K,-0.44%
11/09/2019,1.1194,1.1181,1.1231,1.117,187.66K,0.13%
10/09/2019,1.1179,1.1176,1.1212,1.1142,184.42K,0.06%
09/09/2019,1.1172,1.1156,1.1232,1.1092,184.59K,0.35%
06/09/2019,1.1133,1.1177,1.1183,1.1126,219.01K,-0.37%
05/09/2019,1.1174,1.1104,1.1178,1.1072,237.50K,0.68%
04/09/2019,1.1098,1.1013,1.111,1.1005,225.97K,0.81%
03/09/2019,1.1009,1.1001,1.1047,1.0929,224.87K,0.09%
02/09/2019,1.0999,1.1051,1.108,1.0976,166.41K,-0.53%
30/08/2019,1.1058,1.1016,1.1088,1.1006,208.54K,0.34%
29/08/2019,1.1021,1.1023,1.1049,1.0994,209.47K,0.00%
28/08/2019,1.1021,1.108,1.1085,1.0961,207.32K,-0.51%
27/08/2019,1.1078,1.1005,1.1093,1.0994,197.01K,0.70%
26/08/2019,1.1001,1.0997,1.1035,1.0976,206.99K,-0.14%
23/08/2019,1.1016,1.1058,1.1069,1.0994,226.14K,-0.35%
22/08/2019,1.1055,1.0941,1.1079,1.0918,202.38K,1.07%
21/08/2019,1.0938,1.0964,1.0971,1.0912,197.15K,-0.20%
20/08/2019,1.096,1.0946,1.0991,1.0887,202.50K,0.16%
19/08/2019,1.0943,1.0955,1.0976,1.0904,177.37K,-0.10%
16/08/2019,1.0954,1.0881,1.1001,1.0872,184.07K,0.69%
15/08/2019,1.0879,1.0827,1.0927,1.0807,207.08K,0.50%
14/08/2019,1.0825,1.0796,1.0837,1.0778,211.01K,0.30%
13/08/2019,1.0793,1.0768,1.0822,1.0755,210.82K,0.26%
12/08/2019,1.0765,1.0743,1.0815,1.0723,183.21K,0.25%
09/08/2019,1.0738,1.0852,1.0862,1.0731,201.01K,-1.02%
08/08/2019,1.0849,1.0841,1.0863,1.0789,220.55K,0.10%
07/08/2019,1.0838,1.0865,1.0884,1.0807,231.89K,-0.21%
06/08/2019,1.0861,1.0838,1.0924,1.081,229.67K,0.22%
05/08/2019,1.0837,1.0933,1.0957,1.0833,225.52K,-0.93%
02/08/2019,1.0939,1.0946,1.096,1.0903,221.38K,-0.03%
01/08/2019,1.0942,1.0978,1.0996,1.0929,234.25K,-0.29%
31/07/2019,1.0974,1.0893,1.1006,1.0888,205.15K,0.78%
30/07/2019,1.0889,1.0964,1.0973,1.088,204.56K,-0.67%
29/07/2019,1.0962,1.1133,1.1135,1.096,173.80K,-1.46%
26/07/2019,1.1124,1.1178,1.1181,1.1123,173.51K,-0.49%
25/07/2019,1.1179,1.1206,1.1249,1.1159,199.38K,-0.23%
24/07/2019,1.1205,1.1153,1.1229,1.1148,192.02K,0.50%
23/07/2019,1.1149,1.113,1.1171,1.1103,191.52K,0.21%
