Date,Price,Open,High,Low,Vol.,Change %
31/12/2019,1.3259,1.3117,1.3285,1.3106,97.86K,1.11%
30/12/2019,1.3113,1.3066,1.3152,1.3066,100.82K,0.28%
27/12/2019,1.3076,1.2992,1.3118,1.2967,85.56K,0.65%
26/12/2019,1.2992,1.2961,1.3017,1.2952,99.65K,0.25%
25/12/2019,1.296,1.2943,1.299,1.2921,34.43K,0.12%
24/12/2019,1.2944,1.2936,1.2972,1.2912,108.05K,0.09%
23/12/2019,1.2933,1.2994,1.3033,1.2904,97.34K,-0.53%
20/12/2019,1.3002,1.301,1.3081,1.2978,105.25K,-0.04%
19/12/2019,1.3007,1.3079,1.3133,1.2989,105.63K,-0.53%
18/12/2019,1.3076,1.3129,1.3136,1.3059,102.03K,-0.40%
17/12/2019,1.3128,1.333,1.334,1.3099,97.52K,-1.51%
16/12/2019,1.3329,1.3336,1.3423,1.332,106.33K,0.03%
13/12/2019,1.3325,1.3168,1.3516,1.316,138.64K,1.24%
12/12/2019,1.3162,1.3203,1.323,1.3051,123.19K,-0.23%
11/12/2019,1.3193,1.3157,1.3214,1.3106,100.27K,0.30%
10/12/2019,1.3154,1.3151,1.3217,1.3132,78.09K,0.08%
09/12/2019,1.3143,1.3139,1.3182,1.3117,88.94K,0.06%
06/12/2019,1.3135,1.3157,1.3167,1.31,97.98K,-0.15%
05/12/2019,1.3155,1.3104,1.3168,1.3102,98.16K,0.40%
04/12/2019,1.3103,1.2993,1.3122,1.2981,99.53K,0.85%
03/12/2019,1.2992,1.294,1.3012,1.293,87.96K,0.43%
02/12/2019,1.2936,1.2917,1.2951,1.2895,93.88K,0.02%
29/11/2019,1.2933,1.2911,1.2948,1.2879,98.21K,0.17%
28/11/2019,1.2911,1.2921,1.2952,1.2898,109.36K,-0.08%
27/11/2019,1.2921,1.2866,1.2924,1.2826,99.85K,0.44%
26/11/2019,1.2865,1.2899,1.291,1.2836,101.37K,-0.26%
25/11/2019,1.2898,1.2851,1.2913,1.284,101.02K,0.53%
22/11/2019,1.283,1.2915,1.293,1.2823,103.61K,-0.64%
21/11/2019,1.2913,1.2924,1.2972,1.2893,106.12K,-0.07%
20/11/2019,1.2922,1.2924,1.2933,1.2887,97.08K,0.00%
19/11/2019,1.2922,1.2954,1.2971,1.2909,92.52K,-0.23%
18/11/2019,1.2952,1.2905,1.2986,1.29,92.76K,0.41%
15/11/2019,1.2899,1.2881,1.2921,1.2866,99.34K,0.14%
14/11/2019,1.2881,1.2851,1.2889,1.2824,101.29K,0.25%
13/11/2019,1.2849,1.2848,1.2865,1.2822,81.52K,0.04%
12/11/2019,1.2844,1.2855,1.2875,1.2815,89.76K,-0.05%
11/11/2019,1.2851,1.2777,1.2898,1.2777,85.39K,0.63%
08/11/2019,1.277,1.2813,1.2826,1.2768,101.84K,-0.34%
07/11/2019,1.2813,1.2853,1.2879,1.2794,122.96K,-0.29%
06/11/2019,1.285,1.2885,1.2898,1.2844,89.56K,-0.25%
05/11/2019,1.2882,1.2884,1.2918,1.2859,104.16K,0.00%
04/11/2019,1.2882,1.2944,1.2948,1.2875,97.16K,-0.40%
01/11/2019,1.2934,1.294,1.2974,1.2926,109.42K,-0.05%
31/10/2019,1.294,1.2904,1.2976,1.2894,118.65K,0.30%
30/10/2019,1.2901,1.2869,1.2909,1.2845,101.52K,0.28%
29/10/2019,1.2865,1.2865,1.2905,1.2806,102.72K,0.02%
28/10/2019,1.2862,1.2825,1.2878,1.281,92.63K,0.32%
25/10/2019,1.2821,1.2852,1.2864,1.2803,106.00K,-0.23%
24/10/2019,1.285,1.2912,1.2952,1.2788,123.12K,-0.51%
23/10/2019,1.2916,1.2872,1.2923,1.284,121.75K,0.34%
22/10/2019,1.2872,1.2959,1.3001,1.2861,116.04K,-0.66%
21/10/2019,1.2958,1.2925,1.3013,1.2874,116.06K,-0.10%
18/10/2019,1.2971,1.289,1.2987,1.2838,130.77K,0.64%
17/10/2019,1.2888,1.2832,1.299,1.275,143.31K,0.45%
16/10/2019,1.283,1.2787,1.2877,1.2656,126.17K,0.34%
15/10/2019,1.2786,1.2609,1.28,1.2602,124.12K,1.43%
14/10/2019,1.2606,1.2625,1.2654,1.2515,115.08K,-0.32%
11/10/2019,1.2647,1.2441,1.2708,1.2407,133.18K,1.66%
10/10/2019,1.244,1.2206,1.247,1.2205,121.67K,1.93%
09/10/2019,1.2204,1.2219,1.2292,1.2198,91.63K,-0.11%
08/10/2019,1.2217,1.2292,1.2304,1.2194,98.38K,-0.59%
07/10/2019,1.229,1.2326,1.2338,1.2286,72.24K,-0.34%
04/10/2019,1.2332,1.2333,1.2358,1.2276,103.82K,0.03%
03/10/2019,1.2328,1.2306,1.2414,1.2265,109.34K,0.23%
02/10/2019,1.23,1.2307,1.2325,1.2227,104.44K,-0.01%
01/10/2019,1.2301,1.2287,1.2342,1.2206,111.70K,0.11%
30/09/2019,1.2287,1.2289,1.2348,1.2275,99.22K,-0.01%
27/09/2019,1.2288,1.2322,1.2338,1.227,113.81K,-0.28%
26/09/2019,1.2322,1.2356,1.2382,1.2302,119.13K,-0.22%
25/09/2019,1.2349,1.2484,1.25,1.2347,107.56K,-1.11%
24/09/2019,1.2488,1.2429,1.2503,1.2414,110.21K,0.47%
23/09/2019,1.2429,1.2469,1.2492,1.2413,90.58K,-0.38%
20/09/2019,1.2477,1.2524,1.2583,1.2459,126.12K,-0.38%
19/09/2019,1.2524,1.2473,1.256,1.2438,119.83K,0.45%
18/09/2019,1.2468,1.2502,1.2514,1.2438,115.04K,-0.26%
17/09/2019,1.25,1.2437,1.2528,1.2392,117.37K,0.58%
16/09/2019,1.2428,1.2501,1.2511,1.2399,119.26K,-0.58%
13/09/2019,1.25,1.2335,1.2507,1.2327,124.31K,1.36%
12/09/2019,1.2332,1.2325,1.2368,1.2283,131.85K,0.05%
11/09/2019,1.2326,1.2349,1.2372,1.2312,112.46K,-0.16%
10/09/2019,1.2346,1.2347,1.2377,1.2306,111.66K,0.01%
09/09/2019,1.2345,1.2273,1.2385,1.2233,116.71K,0.52%
06/09/2019,1.2281,1.2331,1.2345,1.2278,134.31K,-0.39%
05/09/2019,1.2329,1.2253,1.2355,1.221,146.15K,0.64%
04/09/2019,1.225,1.2078,1.2259,1.2076,131.54K,1.37%
03/09/2019,1.2084,1.2067,1.2106,1.1958,130.01K,0.15%
02/09/2019,1.2066,1.2149,1.2176,1.2034,99.39K,-0.74%
30/08/2019,1.2156,1.218,1.2226,1.2139,124.69K,-0.26%
29/08/2019,1.2188,1.2211,1.2234,1.2171,126.04K,-0.17%
28/08/2019,1.2209,1.229,1.2293,1.2156,123.46K,-0.63%
27/08/2019,1.2287,1.2219,1.231,1.2208,112.86K,0.59%
26/08/2019,1.2215,1.2264,1.2287,1.2207,112.34K,-0.51%
23/08/2019,1.2277,1.2251,1.2294,1.2194,134.91K,0.22%
22/08/2019,1.225,1.2128,1.2273,1.2107,120.68K,1.02%
21/08/2019,1.2126,1.217,1.2177,1.2112,117.18K,-0.35%
20/08/2019,1.2168,1.2127,1.2183,1.2064,120.00K,0.35%
19/08/2019,1.2125,1.2148,1.2174,1.2104,105.82K,-0.20%
16/08/2019,1.2149,1.2086,1.2177,1.2076,108.18K,0.54%
15/08/2019,1.2084,1.2062,1.2151,1.2049,114.79K,0.21%
14/08/2019,1.2059,1.2058,1.2102,1.2045,119.08K,0.01%
13/08/2019,1.2058,1.2076,1.2098,1.2041,118.47K,-0.12%
12/08/2019,1.2073,1.2048,1.2107,1.2014,110.73K,0.32%
09/08/2019,1.2034,1.2126,1.2155,1.2024,111.65K,-0.80%
08/08/2019,1.2131,1.2141,1.2184,1.2095,118.71K,-0.07%
07/08/2019,1.214,1.217,1.2192,1.212,126.49K,-0.21%
06/08/2019,1.2166,1.2145,1.2211,1.2133,124.23K,0.21%
